	0	1	2	3
KP6	KP6_DJ_p8_CL_Whole_T1_TSMRU_K03366_D1K20ACXX_GCCAAT_L003_	KP6_DJ_p8_CL_Whole_T1_TSMRU_K03366_D1EV7ACXX_GCCAAT_L003_	KP6_DJ_p8_CL_Whole_T1_TSMRU_K03366_D1EV7ACXX_GCCAAT_L007_	
Karpas25	Karpas25_ECACC_p8_CL_Whole_T1_TSMRU_K03380_D1K20ACXX_GTCCGC_L007_			
Karpas620	Karpas620_DSMZ_p14_CL_Whole_T1_TSMRU_K02229_D0U2FACXX_GCCAAT_L001_			
Karpas929	Karpas929_ECACC_p15_CL_Whole_T1_TSMRU_K03381_D1K20ACXX_GTGAAA_L008_	Karpas929_ECACC_p15_CL_Whole_T1_TSMRU_K03381_D1EV7ACXX_GTGAAA_L001_		
LP1	LP1_DSMZ_p9_CL_Whole_T1_TSMRU_K02574_D11P7ACXX_CAGATC_L002_			
MM1R	MM1R_ATCC_p7_CL_Whole_T1_TSMRU_K02576_D11P7ACXX_TGACCA_L001_	MM1R_ATCC_p7_CL_Whole_T1_TSMRU_K02576_D11P7ACXX_TGACCA_L002_		
MM1S	MM1S_ATCC_p7_CL_Whole_T1_TSMRU_K02577_D11P7ACXX_TGACCA_L003_	MM1S_ATCC_p7_CL_Whole_T1_TSMRU_K02577_D11P7ACXX_TGACCA_L004_		
MOLP2	MOLP2_DSMZ_p18_CL_Whole_T1_TSMRU_K02579_D11P7ACXX_CTTGTA_L002_			
MOLP8	MOLP8_DSMZ_p9_CL_Whole_T1_TSMRU_K02217_D0U2FACXX_CGATGT_L006_			
NCIH929	NCIH929_DSMZ_p8_CL_Whole_T1_TSMRU_K02219_D0U2FACXX_CGATGT_L008_	NCIH929_DSMZ_p8_CL_Whole_T1_TSMRU_K02219_D0U2FACXX_CGATGT_L004_		
OCIMY1	OCIMY1_PLB_p6_CL_Whole_T1_TSMRU_K03367_D1EV7ACXX_CAGATC_L003_	OCIMY1_PLB_p6_CL_Whole_T1_TSMRU_K03367_D1K20ACXX_CAGATC_L003_	OCIMY1_PLB_p6_CL_Whole_T1_TSMRU_K03367_D1K20ACXX_CAGATC_L004_	
OCIMY5	OCIMY5_PLB_p10_CL_Whole_T1_TSMRU_K02568_D11P7ACXX_CGATGT_L005_	OCIMY5_PLB_p10_CL_Whole_T1_TSMRU_K02568_D11P7ACXX_CGATGT_L006_		
OCIMY7	OCIMY7_PLB_p8_CL_Whole_T1_TSMRU_K03368_D1K20ACXX_CTTGTA_L003_	OCIMY7_PLB_p8_CL_Whole_T1_TSMRU_K03368_D1EV7ACXX_CTTGTA_L007_		
OH2	OH2_PLB_p8_CL_Whole_T1_TSMRU_K03369_D1K20ACXX_AGTCAA_L003_	OH2_PLB_p8_CL_Whole_T1_TSMRU_K03369_D1EV7ACXX_AGTCAA_L007_	OH2_PLB_p8_CL_Whole_T1_TSMRU_K03369_D1EV7ACXX_AGTCAA_L003_	
OPM1	OPM1_PLB_p7_CL_Whole_T1_TSMRU_K03357_D1K20ACXX_TGACCA_L002_	OPM1_PLB_p7_CL_Whole_T1_TSMRU_K03357_D1EV7ACXX_TGACCA_L004_	OPM1_PLB_p7_CL_Whole_T1_TSMRU_K03357_D1K20ACXX_TGACCA_L001_	
SKMM1	SKMM1_PLB_p6_CL_Whole_T1_TSMRU_K02571_D11P7ACXX_GCCAAT_L005_	SKMM1_PLB_p6_CL_Whole_T1_TSMRU_K02571_D11P7ACXX_GCCAAT_L006_		
SKMM2	SKMM2_DSMZ_p17_CL_Whole_T1_TSMRU_K02573_D11P7ACXX_ACAGTG_L002_			
U266	U266_ATCC_p8_CL_Whole_T1_TSMRU_K02223_D0U2FACXX_TGACCA_L008_	U266_ATCC_p8_CL_Whole_T1_TSMRU_K02223_D0U2FACXX_TGACCA_L004_		
XG2	XG2_PLB_p5_CL_Whole_T1_TSMRU_K03376_D1EV7ACXX_TGACCA_L006_	XG2_PLB_p5_CL_Whole_T1_TSMRU_K03376_D1EV7ACXX_TGACCA_L002_		
XG6	XG6_PLB_p5_CL_Whole_T1_TSMRU_K03377_D1K20ACXX_AGTTCC_L008_	XG6_PLB_p5_CL_Whole_T1_TSMRU_K03377_D1EV7ACXX_AGTTCC_L001_	XG6_PLB_p5_CL_Whole_T1_TSMRU_K03377_D1K20ACXX_AGTTCC_L007_	
XG7	XG7_PLB_p6_CL_Whole_T1_TSMRU_K03378_D1EV7ACXX_ATGTCA_L005_	XG7_PLB_p6_CL_Whole_T1_TSMRU_K03378_D1EV7ACXX_ATGTCA_L001_		
